"","MSA_1","MSA_2","MSA_3","MSA_4","MSA_5","MSA_6","MSA_7","MSA_8","MSA_9","MSA_10","MSA_11","MSA_12","MSA_13","MSA_14","MSA_15","MSA_16","MSA_17","MSA_18","MSA_19","MSA_20"
"MSA_1",-0.311430272611135,0.321882020300527,-0.678151866427737,-0.567303184921904,-0.341212804069363,0.198439182893992,-0.419935888660764,-0.24648335525347,-0.389833879705126,-0.332657846385901,-0.587414199469444,-0.795883105287466,-0.984395552775934,-0.355691989544827,-0.370406812573097,0.0846020570415415,0.0983155952396811,-0.0538869687523318,0.3217526356845,-0.69018554379255
"MSA_2",1.10216886296299,-0.809677555405052,2.14600965971447,1.7163291937235,0.949968347374641,-0.612730922720456,1.26178241504634,0.476990125720828,1.09219516446092,1.19401974750634,1.9287217616614,3.17966310731799,2.70954253793928,1.03994495381408,1.34054579451889,-0.665040134158762,-0.866598657328599,0.28529708115229,-0.951322793677093,2.10669321160926
"MSA_3",-1.89964724182951,1.56361519291647,-3.89144492206642,-3.16934123211699,-1.79556946841588,1.13537310186439,-2.36349917697013,-1.07557343474116,-2.05139863477365,-2.10102603039278,-3.45443835913647,-5.50437129723174,-5.16588830270471,-1.91974608911887,-2.30128781261112,0.878501484409188,1.31088369676134,-0.513646171573671,1.78988389425934,-3.90114450321687
"MSA_4",-2.06236565034299,1.60969393756253,-4.1277526514686,-3.35936227116355,-1.88550336895465,1.23079025486147,-2.49525962975687,-1.0430362199834,-2.18459266230358,-2.27359350664661,-3.74027545038041,-5.98738012579604,-5.45063847071042,-2.00155985196539,-2.46801321744004,1.01790429388508,1.55633757498112,-0.552614889396267,1.92390786084454,-4.12291491357773
"MSA_5",-1.49308600867762,1.1469209446686,-2.97657156416875,-2.42034897414609,-1.35394240688356,0.884268693554056,-1.78439023990465,-0.739183835439154,-1.56713296139273,-1.63792413344962,-2.70725384202408,-4.36709771244325,-3.90954360182056,-1.43075582698791,-1.77173319440475,0.750826598020198,1.17230644365231,-0.400535533281453,1.37813546740919,-2.96571464962978
"MSA_6",0.62329105665775,-0.547277424656937,1.31139777805223,1.08737722395469,0.627478891256632,-0.392678008944246,0.828772664711891,0.432739449273796,0.710735833579559,0.697195423804513,1.18945987084765,1.81927905227371,1.85332880103728,0.647828919807957,0.712052447227316,-0.223335553085751,-0.4538954042546,0.169701531235973,-0.63476872055135,1.36201467082737
"MSA_7",-2.23463044347037,1.72597051492559,-4.44855530169017,-3.62341049316138,-2.02776496648007,1.31608783246687,-2.69403356697679,-1.11163850350436,-2.33672195465073,-2.44640418569647,-4.06386036885596,-6.53317541570292,-5.89633410446982,-2.1539534319205,-2.64257242976131,1.10072944030116,1.72427106758553,-0.616956444445109,2.08498718012469,-4.46178600474932
"MSA_8",-1.83522016547288,1.32274577390493,-3.59291906129247,-2.89077615275807,-1.58242403124592,1.04574627228612,-2.15037465599935,-0.80455689640378,-1.83274460753156,-2.05691425886088,-3.25280332247885,-5.41020321134688,-4.53216572017402,-1.68322181045749,-2.22255131837892,1.10058587491342,1.54596151920134,-0.502484715366163,1.62373029148595,-3.56498313810889
"MSA_9",-1.7593203378348,1.42881107496652,-3.5861888171391,-2.92513289409717,-1.66717692692385,1.06106430154219,-2.18503110300698,-0.970851158587707,-1.91514889654136,-1.9764853656236,-3.23334882687381,-5.13964027121778,-4.78940758237032,-1.75261010399814,-2.12210451047104,0.806466219947409,1.29581477252936,-0.463143827064853,1.65891558111334,-3.60781628992363
"MSA_10",-1.15398307464777,1.07350755001278,-2.47353629120394,-2.05853953687969,-1.20335964400994,0.711529885243425,-1.57124026759077,-0.802441303460184,-1.33457309546077,-1.28823835029041,-2.14681020406812,-3.33926937553528,-3.47166394628797,-1.27091593998576,-1.40033698653878,0.312819053679196,0.630245010464618,-0.335934134062759,1.16023116406807,-2.54257034878085
"MSA_11",-2.66637375644926,2.39858892537878,-5.68645339713694,-4.67666089232086,-2.70145917305495,1.63061174662887,-3.50240390961859,-1.81352036335297,-3.05396213681703,-2.99999475032321,-4.99295598673119,-7.68292458446989,-7.73243918891428,-2.82568373589244,-3.21736181232621,0.998151732477239,1.62008007891185,-0.71762482808525,2.61518729522695,-5.72591657444494
"MSA_12",-4.83208593601459,4.59857784125828,-10.5960399781843,-8.74725749794323,-5.06785820689831,3.01302067028891,-6.64405242426819,-3.67268821417652,-5.64424836310046,-5.40593203682442,-9.2574909284644,-14.229369360702,-14.83292824799,-5.36414565190625,-5.80616592176418,1.38049751227877,2.798090768353,-1.51951218182246,4.96468314031096,-10.7561496998828
"MSA_13",-5.78621822233454,4.56757715254311,-11.6456106782529,-9.44243747334351,-5.28816618805962,3.40329207676599,-6.99153548642993,-3.05309941555858,-6.08079359520488,-6.36550169120267,-10.5744492446016,-16.8936644900168,-15.3573347106754,-5.58942030914377,-6.87961623022632,2.98575919960425,4.49702545654129,-1.56780134940246,5.38631988830999,-11.5909953836973
"MSA_14",-0.977888946059362,0.66819658065057,-1.85467089000396,-1.47848807926195,-0.812949601267243,0.561709359646849,-1.05809038485236,-0.392241635138529,-0.951699551847506,-1.03701212700224,-1.75393279373432,-2.86452316081149,-2.35805996804289,-0.876686066311736,-1.11472618738124,0.581042705374791,0.962326850040352,-0.242442105765889,0.852226708048973,-1.82649175472561
"MSA_15",-0.141483178620232,0.252654745067418,-0.39459211741155,-0.323998494758619,-0.227035936399987,0.091934872563512,-0.268046671754611,-0.219825363449445,-0.204474482428372,-0.136173948963076,-0.270052289912964,-0.40758721754611,-0.665385142904079,-0.283582220604596,-0.210099860142364,-0.0858159400714868,-0.0614521547107113,-0.0580648456413743,0.17165229429615,-0.430337428097173
"MSA_16",-1.04233322718066,0.372943753020995,-1.67528398504516,-1.30392567617683,-0.634580676941963,0.616581051819079,-0.84066711111719,0.00537398214452919,-0.830006751863728,-1.07679904147936,-1.86707132643102,-3.30135505168335,-1.87861851767482,-0.634191203864883,-1.05195141296573,0.873316331683946,1.65643412182934,-0.271384492798818,0.850386488980088,-1.54295974470768
"MSA_17",0.243896177919474,-0.789119405649919,1.11633741818366,1.05115033079013,0.717273053278407,-0.223348823143188,0.898040321502072,1.00486583057823,0.655286791277963,0.329430236015171,0.720377995256991,0.532310692650222,2.1117663411374,0.683106706933346,0.245545733487747,0.641225889294336,0.632497133966575,0.14056100718596,-0.534631029494403,1.31177927176115
"MSA_18",-0.813799451110937,0.661694854287742,-1.66608236380345,-1.34564724544375,-0.753992796742584,0.502986712609949,-0.997048660194296,-0.460241583188889,-0.852783674993503,-0.876718832524068,-1.53278173532683,-2.45239821307931,-2.23517240672169,-0.832640526852719,-0.951846622284313,0.340437933197073,0.677680980831813,-0.262485115679473,0.798634862096089,-1.63728452218299
"MSA_19",1.70352483277123,-1.44123649235479,3.53272905653742,2.8980270329405,1.65104862210484,-1.03182303803999,2.17969499412566,1.04783107015339,1.89059746630468,1.90379229221841,3.18246546124201,4.97214635221005,4.7940130283555,1.72944908934065,2.01992684388733,-0.748853670725259,-1.18948707927734,0.467083828148232,-1.65920124650773,3.56579379193807
"MSA_20",-3.09628134574897,2.49177368971335,-6.30955542094506,-5.16322056117233,-2.8929854576321,1.84693146722022,-3.83942912935159,-1.71620606874174,-3.34959126189494,-3.44686367283456,-5.72603871679734,-9.1470898333207,-8.42000317661604,-2.98937447266085,-3.67510140674655,1.54657921467513,2.29205830106754,-0.856089888844514,2.96520803048334,-6.346674609269
"mu_i",0.00406070321278198,0.00514158118064703,0.00426506002743865,0.00515745066914661,0.00676123991762312,0.00423586698819189,0.00744785222484672,0.00594574174012921,0.00695312256949996,0.00570127062117669,0.00713160813524758,0.00823213380931014,0.018676884925105,0.00754138060305767,0.00232364400561607,0.00389046557194042,0.00725521988000104,0.00637804323874831,0.00350179443495369,0.00463185599724947
